Currency,Country,Amount,Path
HKD,Hong Kong,88397.39982819915,"CAD | USD | CNY | HKD"
USD,American Samoa,79.29528892158041,"CAD | USD"
BRL,Brazil,412.1340778494671,"CAD | BRL"
EUR,Andorra,67.03180183180628,"CAD | EUR"
PHP,Philippines,89045.93334243775,"CAD | USD | CNY | HKD | PHP"
INR,India,89347.33340370649,"CAD | USD | CNY | HKD | INR"
VND,Vietnam,381897.2164639124,"CAD | USD | CNY | HKD | VND"
KRW,South Korea,91416.84267187171,"CAD | USD | CNY | HKD | PHP | KRW"
SGD,Singapore,91416.95365144727,"CAD | USD | CNY | HKD | PHP | KRW | SGD"
THB,Thailand,93886.0111129213,"CAD | USD | CNY | HKD | PHP | KRW | SGD | THB"
JPY,Japan,11167.5279692167,"CAD | USD | JPY"
MXN,Mexico,2075.0519132930117,"CAD | USD | MXN"
SAR,Saudi Arabia,454.64524500710934,"CAD | USD | SAR"
UYU,Uruguay,520981.32916420983,"CAD | USD | SAR | UYU"
LRD,Liberia,2087283.2418239804,"CAD | USD | SAR | LRD"
SDG,Sudan,12312.611293967117,"CAD | USD | SAR | SDG"
DZD,Algeria,2087363.6493950626,"CAD | USD | SAR | LRD | DZD"
GBP,England,152.24197571321636,"CAD | EUR | GBP"
LBP,Lebanon,211011.68352635016,"CAD | EUR | GBP | LBP"
NOK,Bouvet Island,1350.1622463646388,"CAD | EUR | GBP | NOK"
SEK,Sweden,1450.6711312273371,"CAD | EUR | GBP | NOK | SEK"
TRY,Turkey,1549.062968451634,"CAD | EUR | GBP | NOK | SEK | TRY"
CHF,Liechtenstein,1461.768887154525,"CAD | EUR | GBP | NOK | SEK | CHF"
TTD,Trinidad and Tobago,542.6569713326088,"CAD | BRL | TTD"
TND,Tunisia,520987.8319134664,"CAD | USD | SAR | UYU | TND"
ARS,Argentina,2302.548513837385,"CAD | BRL | ARS"
NZD,Cook Islands,233.88569512439562,"CAD | EUR | NZD"
AUD,Australia,227.9089759122271,"CAD | EUR | AUD"
BZD,Belize,306.1721210839804,"CAD | EUR | BZD"
CNY,China,725.4976385131272,"CAD | USD | CNY"
BTC,BTC,0.0018172056272707598,"CAD | BTC"
ETH,ETH,1426.5921755758623,"CAD | BTC | ETH"
BAN,BAN,498127788.7728134,"CAD | BTC | BAN"
NANO,NANO,844574.6967269856,"CAD | BTC | NANO"
ADA,ADA,844816.1858334481,"CAD | BTC | NANO | ADA"
DOGE,DOGE,846983.5403053517,"CAD | BTC | NANO | DOGE"
LTC,LTC,844817.5202407221,"CAD | BTC | NANO | ADA | LTC"
ALGO,ALGO,844932.566557106,"CAD | BTC | NANO | ADA | ALGO"
BCH,BCH,7692.225515302739,"CAD | BTC | BCH"
